"rainfall","treatment"
81.2,"unseeded"
26.1,"unseeded"
95,"unseeded"
41.1,"unseeded"
28.6,"unseeded"
21.7,"unseeded"
11.5,"unseeded"
68.5,"unseeded"
345.5,"unseeded"
321.2,"unseeded"
1202.6,"unseeded"
1,"unseeded"
4.9,"unseeded"
163,"unseeded"
372.4,"unseeded"
244.3,"unseeded"
47.3,"unseeded"
87,"unseeded"
26.3,"unseeded"
24.4,"unseeded"
830.1,"unseeded"
4.9,"unseeded"
36.6,"unseeded"
147.8,"unseeded"
17.3,"unseeded"
29,"unseeded"
274.7,"seeded"
302.8,"seeded"
242.5,"seeded"
255,"seeded"
17.5,"seeded"
115.3,"seeded"
31.4,"seeded"
703.4,"seeded"
334.1,"seeded"
1697.8,"seeded"
118.3,"seeded"
198.6,"seeded"
129.6,"seeded"
274.7,"seeded"
119,"seeded"
1656,"seeded"
7.7,"seeded"
430,"seeded"
40.6,"seeded"
92.4,"seeded"
200.7,"seeded"
32.7,"seeded"
4.1,"seeded"
978,"seeded"
489.1,"seeded"
2745.6,"seeded"
