"expression","treatment"
16.1,"highdose"
134.9,"highdose"
52.7,"highdose"
14.4,"highdose"
124.3,"highdose"
99,"highdose"
24.3,"highdose"
16.3,"highdose"
15.2,"highdose"
47.7,"highdose"
12.9,"highdose"
72.7,"highdose"
126.7,"highdose"
46.4,"highdose"
60.3,"highdose"
23.5,"highdose"
43.6,"highdose"
79.4,"highdose"
38,"highdose"
58.2,"highdose"
26.5,"highdose"
297.1,"control"
491.8,"control"
1332.9,"control"
1172,"control"
1482.7,"control"
335.4,"control"
528.9,"control"
24.1,"control"
545.2,"control"
92.9,"control"
337.1,"control"
102.3,"control"
255.1,"control"
100.5,"control"
159.9,"control"
168,"control"
95.2,"control"
132.5,"control"
442.6,"control"
15.8,"control"
175.6,"control"
25.1,"control"
820.1,"control"
82.5,"control"
713.9,"control"
785.6,"control"
114,"control"
31.9,"control"
86.3,"control"
646.6,"control"
169.9,"control"
20.2,"control"
280.2,"control"
194.2,"control"
408.4,"control"
155.5,"control"
864.6,"control"
355.4,"control"
634,"control"
2029.9,"control"
362.1,"control"
131.1,"control"
166.5,"control"
2258.4,"control"
497.5,"control"
263.4,"control"
252.3,"control"
351.4,"control"
678.9,"control"
3010.2,"control"
67.1,"control"
318.2,"control"
2476.4,"control"
181.4,"control"
2081.5,"control"
424.3,"control"
188.1,"control"
563,"control"
149.1,"control"
2122.9,"control"
1295.9,"control"
